Claim_ID,Policy_ID,Claim_Date,Claim_Amount,Claim_Type,Severity
1,1,2024-11-19,132.88,Property Damage,132.88
2,1,2024-11-12,85.09,Bodily Injury,85.09
3,7,2019-04-24,93.94,Property Damage,93.94
4,13,2013-08-18,0.0,Property Damage,0.0
5,15,2013-05-10,15.72,Property Damage,15.72
6,16,2024-12-25,0.0,Property Damage,0.0
7,17,2021-09-17,55.08,Property Damage,55.08
8,18,2024-10-18,54.73,Comprehensive,54.73
9,19,2010-03-25,0.0,Collision,0.0
10,19,2009-12-24,0.0,Property Damage,0.0
11,20,2008-06-21,0.0,Comprehensive,0.0
12,26,2013-11-05,0.0,Collision,0.0
13,28,2005-11-24,165.64,Property Damage,165.64
14,32,2023-09-25,0.0,Bodily Injury,0.0
15,34,2003-06-17,0.0,Property Damage,0.0
16,36,2016-04-25,0.0,Bodily Injury,0.0
17,37,2023-07-19,45.0,Property Damage,45.0
18,37,2017-12-23,65.86,Collision,65.86
19,45,2018-03-30,0.0,Collision,0.0
20,45,2017-01-13,0.0,Property Damage,0.0
21,49,2001-04-22,61.34,Bodily Injury,61.34
22,52,2018-10-02,0.0,Property Damage,0.0
23,54,2020-05-25,65.54,Property Damage,65.54
24,55,2022-12-18,49.82,Property Damage,49.82
25,57,2021-03-16,0.0,Property Damage,0.0
26,58,2017-01-19,184.88,Comprehensive,184.88
27,67,2012-04-20,83.63,Collision,83.63
28,71,2019-06-13,0.0,Bodily Injury,0.0
29,74,2023-05-05,0.0,Property Damage,0.0
30,80,2011-09-24,9.1,Property Damage,9.1
31,84,2012-04-28,371.75,Collision,371.75
32,87,2020-11-17,0.0,Property Damage,0.0
33,90,2016-09-01,87.7,Collision,87.7
34,90,2013-02-01,91.84,Property Damage,91.84
35,96,2022-12-06,40.96,Property Damage,40.96
36,97,2023-04-23,0.09,Property Damage,0.09
37,97,2021-08-21,0.12,Collision,0.12
38,102,2017-07-04,18.05,Collision,18.05
39,102,2022-07-11,19.73,Property Damage,19.73
40,110,2017-04-08,,Comprehensive,0.0
