Policy_ID,Customer_ID,Policy_Age,Product_Type,Vehicle_Type,Driving_History,Region,Exposure,Premium,Earned_Premium,Ultimate_Losses,Pure_Premium,Reserved_Losses
1,861,1,Liability,Truck,1,West,2,931.31,931.31,161.58,80.7909882794407,129.26
2,3773,25,Liability,SUV,1,West,26,983.91,983.91,2446.77,94.10662127326928,1957.42
3,3093,20,Home,Car,2,Northeast,21,772.97,772.97,3361.05,160.04982854964908,2688.84
4,467,17,BOP,Truck,0,South,18,846.1,846.1,835.6,46.422274454417426,668.48
5,4427,13,Transportation,SUV,1,Northeast,14,723.43,723.43,1733.44,123.81700907944524,1386.75
6,3445,25,Auto,Truck,0,South,26,942.48,942.48,0.0,0.0,0.0
7,3172,15,Liability,Van,1,South,16,868.66,868.66,1836.92,114.80745064741852,1469.54
8,2920,21,Home,Motorcycle,0,West,22,721.55,721.55,0.0,0.0,0.0
9,131,10,Auto,Van,0,South,11,550.02,550.02,35.07,3.188200008311057,28.06
10,1686,9,BOP,Car,1,Midwest,10,661.15,661.15,308.84,30.88371434458176,247.07
11,770,16,Liability,Truck,0,Northeast,17,1018.26,1018.26,0.0,0.0,0.0
12,2392,13,Auto,Truck,1,Northeast,14,851.42,851.42,797.29,56.949339420390274,637.83
13,2434,21,Auto,Van,0,Midwest,22,692.94,692.94,0.0,0.0,0.0
14,1185,3,Home,Car,1,West,4,511.24,511.24,324.34,81.08583338404975,259.47
15,4556,18,BOP,Car,0,South,19,719.92,719.92,165.84,8.728571951922133,132.67
16,3386,1,Auto,Motorcycle,0,West,2,519.46,519.46,0.0,0.0,0.0
17,4118,6,BOP,Car,1,West,7,616.48,616.48,343.51,49.07278347672859,274.81
18,4844,8,Liability,Motorcycle,1,Northeast,9,784.06,784.06,919.57,102.17497108510375,735.66
19,2905,27,Liability,Van,0,Northeast,28,939.36,939.36,0.0,0.0,0.0
20,475,18,Liability,Van,0,Midwest,19,754.93,754.93,0.0,0.0,0.0
21,1083,15,Home,Car,1,Northeast,16,837.37,837.37,1681.35,105.08464316937221,1345.08
